smiles,num_reactions_worked,num_reactions_failed,num_reactions_total
N1=C(C=CN1C)N2C(=CC=C2C)C,24,0,24
O=C(OCC)C1=NC=CC=C1,23,1,24
O(C1=CC=CC(OC)=C1OC)C,21,3,24
O=C(OCC)C1=CC=2C=CC=CC2N1,21,3,24
O=C(C1=CC=C(F)C(=C1)C)CCC2=CN=C(Cl)C=C2,21,3,24
O(C=1C=CC2=C(C=CN2C)C1)C,21,3,24
O=C(C=1C=CC=CC1)N(C(C)C)C(C)C,20,3,23
O=C(C1=CC=C2C=C(O)C=CC2=C1)N3CCOCC3,18,6,24
O=C1OC=2C=CC=CC2C(O)=C1C(C=3C=CC=CC3)CC(=O)C,17,7,24
O=C(OCC)N1CCC(=C2C=3N=CC=CC3CCC=4C=C(Cl)C=CC42)CC1,16,8,24
BrC1=CN=C(C=C1)N2CCOCC2,14,10,24
O=C1NC=2C(=NC=CC2C)N(C3=NC=CC=C13)C4CC4,8,16,24
FC(F)(F)C1=NN(C=2C=C(Br)C=CC12)C,8,16,24
O=C(N)C(C=1C=CC=CC1)(C=2C=CC=CC2)CCN3C=CN=C3C,6,18,24
O=C(O)C1=CN(C2=C(OC)C(=C(F)C=C2C1=O)N3CCNC(C)C3)C4CC4,4,20,24
O=C(NC1=CC=C2C=C(Br)C=CC2=C1)C,3,21,24
N#CC1=CC=C(C=C1)NC=2N=C(OC=3C(=CC(C#N)=CC3C)C)C(Br)=C(N2)N,2,22,24
O=C1NC2=CC(Cl)=C(C=C2C1)CCN3CCN(C4=NSC=5C=CC=CC54)CC3,2,22,24
O=C(NC=1C(Cl)=CN=CC1Cl)C2=CC=C(OC(F)F)C(OCC3CC3)=C2,2,22,24
O=C(NCC1=NC=CC=N1)C2=CN=C(N=C2NCC3=CC=C(OC)C(Cl)=C3)N4CCCC4CO,1,23,24
OC(C=CC1=CC=C2OCOC2=C1)C(C)(C)C,1,23,24
O=C(OCC)N1NC(=O)C=2C=CC=CC21,1,23,24
O=C1C=CC2(C(=C1)CCC3C2C(=O)CC4(C)C3CCC4(O)C(=O)CO)C,0,24,24
O=C(OCC=1C=CC=CC1)CNC(=O)C(CSC(=O)C)CC=2C=CC=CC2,0,24,24
O=C(OCC1OC(N2C=CC(=O)NC2=O)C(OC(=O)C)C1OC(=O)C)C,0,24,24
O=C(NC1C=2C=CC=CC2CC1O)C(CC=3C=CC=CC3)CC(O)CN4CCN(CC=5C=NC=CC5)CC4C(=O)NC(C)(C)C,0,24,24
O=C1N=CNC2=C1N=CN2C3OC(CO)CC3,0,24,24
ClC1=CC=C2NC(=NC2=C1)C=3C=CC(O)=CC3,0,24,24
O=C(OCC)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,0,24,24
O=C(O)C1=CN(C2=C(F)C(=C(F)C=C2C1=O)N3CCNC(C)C3)CC,0,24,24
O=C(O)C=1C=CC2=CC(=CC=C2C1)C=3C=CC(OC)=C(C3)C45CC6CC(CC(C6)C4)C5,0,21,21
O=C1C=CC2(C(=C1)CCC3C4CC5OC(=NC5(C(=O)COC(=O)C)C4(C)CC(O)C32)C)C,0,24,24
O=C(OCCCCC)NC1=NC(=O)N(C=C1F)C2OC(C)C(O)C2O,0,24,24
C(#CC(C)(C)C)C=CCN(C)CC1=CC=CC=2C=CC=CC21,0,24,24
O=C(OC)NC1=NC=2C=C(SCCC)C=CC2N1,0,24,24
O=N(=O)C1=CC=CC=2N=C(OC21)C,0,24,24
C1(=C(C)ON=C1C(C=C(F)C2)=CC=2)C3C=C[NH]N=3,0,24,24
O=C(O)C1=CN(C2=C(OC)C(=C(F)C=C2C1=O)N3CC4NCCCC4C3)C5CC5,0,24,24
N=1C=CSC1C2=NC=3C=C(C(=CC3N2)C)C,0,24,24
N=1C=2C=C3OCCOC3=CC2NC1C,0,24,24
